config,format,batch,tok/s,ttft_ms,VRAM_GB,block,ppl,mmlu,gsm8k
baseline_cache,none,1,64±4,17±6,3.119,-,-,-,-
baseline_nocache,none,1,45±3,19±6,3.13,-,-,-,-
batch_bfloat16_b1,none,1,59±5,19±7,3.119,-,-,-,-
manual_kv,none,1,77±3,15±4,3.174,-,-,-,-
quant_awq,awq,1,41±3,29±11,1.208,-,-,-,-
quant_fp4,fp4,1,44±2,30±12,1.209,-,-,-,-
quant_gptq-int4,gptq-int4,1,37±3,29±11,1.204,-,-,-,-
quant_int8,int8,1,11±1,115±29,1.83,-,-,-,-
quant_nf4,nf4,1,44±2,31±10,1.209,-,-,-,-
spec,none,1,42±5,136±115,4.195,4.69±3.48,-,-,-
spec_awq,awq,1,35±7,149±125,2.262,4.19±3.34,-,-,-
spec_nf4,nf4,1,34±5,152±142,2.265,4.31±2.94,-,-,-
batch_awq_b4,awq,4,142±13,49±12,1.261,-,-,-,-
batch_bfloat16_b4,none,4,216±21,39±9,3.184,-,-,-,-
batch_nf4_b4,nf4,4,125±10,70±19,1.262,-,-,-,-
batch_awq_b16,awq,16,544±22,148±54,1.513,-,-,-,-
batch_bfloat16_b16,none,16,769±60,154±64,3.45,-,-,-,-
batch_nf4_b16,nf4,16,460±31,161±62,1.514,-,-,-,-
