config,format,batch,tok/s,ttft_ms,VRAM_GB,block,ppl,mmlu,gsm8k
baseline_cache,none,1,35±3,38±8,15.288,-,6.8286,0.7404,0.76
baseline_nocache,none,1,15±1,35±5,15.297,-,6.8286,0.7404,0.76
batch_bfloat16_b1,none,1,37±3,37±8,15.288,-,6.8286,0.7404,0.76
manual_kv,none,1,40±1,37±8,15.326,-,6.8286,0.7404,0.76
quant_awq,awq,1,31±3,58±16,5.753,-,7.2183,0.7263,0.73
quant_fp4,fp4,1,38±4,63±8,5.744,-,-,-,-
quant_gptq-int4,gptq-int4,1,20±0,61±10,5.757,-,7.1268,0.7263,0.675
quant_int8,int8,1,10±1,125±33,8.942,-,6.8538,0.7421,0.755
quant_nf4,nf4,1,39±4,62±8,5.744,-,7.136,0.7211,0.755
spec,none,1,27±5,160±115,16.305,3.06±1.70,6.8286,0.7404,0.76
spec_awq,awq,1,26±4,187±118,6.749,3.13±1.59,7.2183,0.7263,0.73
spec_lookup,none,1,38±7,49±9,15.294,1.25±0.23,6.8286,0.7404,0.76
spec_nf4,nf4,1,22±5,189±115,6.764,3.16±1.71,7.136,0.7211,0.755
batch_awq_b4,awq,4,115±9,161±41,5.865,-,7.2183,0.7263,0.73
batch_bfloat16_b4,none,4,127±10,132±41,15.425,-,6.8286,0.7404,0.76
batch_nf4_b4,nf4,4,62±3,157±41,5.854,-,7.136,0.7211,0.755
batch_awq_b16,awq,16,381±25,621±238,6.315,-,7.2183,0.7263,0.73
batch_bfloat16_b16,none,16,428±13,592±229,15.976,-,6.8286,0.7404,0.76
batch_nf4_b16,nf4,16,244±3,620±229,6.305,-,7.136,0.7211,0.755
